DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,GE,2015,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,GE,2016,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,GE,2017,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,GE,2018,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,GE,2019,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,GE,2020,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HR,2015,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HR,2016,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HR,2017,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HR,2018,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HR,2019,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HR,2020,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HU,2015,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HU,2016,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HU,2017,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HU,2018,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HU,2019,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,HU,2020,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IE,2015,0.51,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IE,2016,0.29,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IE,2017,0.25,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IE,2018,0.25,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IE,2019,1.13,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IE,2020,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IS,2015,,z
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IS,2016,,z
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IS,2017,,z
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IS,2018,,z
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IS,2019,,z
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IS,2020,,z
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,IT,2015,12.49,s
