"country","year","gdp_capita","population","urban_pop","life_exp","eco_freedom","employment_ratio","gov_edu_expend","gov_health_expend","literacy","poverty","child_mortality","hunger"
"SAS","1990",1203.755931,1132833314,0.2502535363,58.22082512,NA,NA,NA,NA,0.4647641,0.1476,0.1293,NA
"SAU","1990",22843.10037,16361453,0.76583,69.16702439,NA,NA,NA,NA,NA,NA,0.0443,NA
"SDN","1990",1133.190329,20008804,0.2861,55.51446341,NA,NA,NA,NA,NA,NA,0.1275,NA
"SEN","1990",1204.49723,7514201,0.389,57.18309756,NA,NA,NA,NA,NA,NA,0.1404,NA
"SGP","1990",22167.95169,3047132,1,75.29512195,NA,NA,NA,NA,0.8909599,NA,0.0077,NA
"SLB","1990",1158.601909,311849,0.13677,56.7047561,NA,NA,NA,NA,NA,NA,0.0397,NA
"SLE","1990",887.2460013,3931208,0.33252,37.35341463,NA,NA,NA,NA,NA,NA,0.2643,NA
"SLV","1990",2929.366635,5252082,0.49233,63.988,NA,NA,NA,NA,NA,NA,0.0594,NA
"SMR","1990",NA,24045,0.904,NA,NA,NA,NA,NA,NA,NA,0.0109,NA
"SOM","1990",NA,6321615,0.29658,45.38934146,NA,NA,NA,NA,NA,NA,0.1802,NA
"SRB","1990",NA,7586000,0.50393,NA,NA,NA,NA,NA,NA,NA,0.0284,NA
"SSA","1990",1638.842414,508546039,0.2699007892,49.91391662,NA,NA,NA,NA,0.525192,0.2494,0.1803,NA
"SSD","1990",NA,5762190,0.13276,43.5187561,NA,NA,NA,NA,NA,NA,0.2532,NA
"SSF","1990",1639.872788,508616039,0.2699314362,49.91391662,NA,NA,NA,NA,0.5255323,NA,0.1808993879,NA
"SST","1990",NA,25098360,0.4306778266,64.15393528,NA,NA,NA,NA,0.7386441,NA,0.08280718952,NA
"STP","1990",NA,113575,0.43648,61.77143902,NA,NA,NA,NA,NA,NA,0.1107,NA
"SUR","1990",6840.543688,408276,0.65706,67.50187805,NA,NA,NA,NA,NA,NA,0.0476,NA
"SVK","1990",NA,5299187,0.56491,70.93268293,NA,NA,NA,NA,NA,NA,0.0177,NA
"SVN","1990",NA,1998161,0.5038,73.20487805,NA,NA,NA,NA,NA,NA,0.0104,NA
"SWE","1990",20075.83393,8558835,0.831,77.53682927,NA,NA,NA,NA,NA,NA,0.0069,NA
"SWZ","1990",4082.031068,862728,0.22908,59.34519512,NA,NA,NA,NA,NA,NA,0.0747,NA
"SXM","1990",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYC","1990",9123.898912,70000,0.49258,NA,NA,NA,NA,NA,NA,NA,0.0165,NA
"SYR","1990",NA,12451539,0.48931,70.10626829,NA,NA,NA,NA,NA,NA,0.0372,NA
"TCA","1990",NA,11550,0.74343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCD","1990",717.5726593,5958022,0.20811,46.92436585,NA,NA,NA,NA,NA,NA,0.2146,NA
"TEA","1990",1434.041495,1583420482,0.2777402949,67.87720345,NA,NA,NA,NA,0.7992677,NA,0.05979882215,NA
"TEC","1990",6251.379634,428458829,0.6270876443,68.53923192,NA,NA,NA,NA,0.9597636,NA,0.04619021623,NA
"TGO","1990",872.6352851,3786942,0.28589,55.84843902,NA,NA,NA,NA,NA,NA,0.1462,NA
"THA","1990",4298.562681,56582824,0.29424,70.23060976,NA,NA,NA,NA,NA,0.0178,0.037,NA
"TJK","1990",2349.639512,5297286,0.31658,62.86478049,NA,NA,NA,NA,NA,NA,0.1084,NA
"TKM","1990",5398.792743,3668000,0.45075,62.67414634,NA,NA,NA,NA,NA,NA,0.0905,NA
"TLA","1990",5746.308675,430984322,0.7021015965,67.52942966,NA,NA,NA,NA,0.8627462,NA,0.05490574029,NA
"TLS","1990",NA,740231,0.20842,48.48473171,NA,NA,NA,NA,NA,NA,0.1757,NA
"TMN","1990",5092.334057,224522701,0.5154098512,65.14007509,NA,NA,NA,NA,0.5571768,NA,0.06917656575,NA
"TON","1990",2308.977992,95152,0.22704,69.58231707,NA,NA,NA,NA,NA,NA,0.0219,NA
"TSA","1990",1203.755931,1132833314,0.2502535363,58.22082512,NA,NA,NA,NA,0.4647641,NA,0.1293028605,NA
"TSS","1990",1639.872788,508616039,0.2699314362,49.91391662,NA,NA,NA,NA,0.5255323,NA,0.1808993879,NA
"TTO","1990",7838.647148,1221904,0.08534,68.02290244,NA,NA,NA,NA,0.9693855,NA,0.0305,NA
"TUN","1990",3681.529909,8154400,0.57946,70.30731707,NA,NA,NA,NA,NA,0.0244,0.057,NA
"TUR","1990",4438.79261,53994605,0.59203,64.28234146,NA,NA,NA,NA,0.7923245,NA,0.0745,NA
"TUV","1990",1531.346373,9004,0.40661,NA,NA,NA,NA,NA,NA,NA,0.0572,NA
"TZA","1990",951.8317127,25458208,0.18884,49.97756098,NA,NA,NA,NA,NA,NA,0.1652,NA
"UGA","1990",499.8427288,17384369,0.11076,45.05626829,NA,NA,NA,NA,NA,NA,0.1871,NA
"UKR","1990",6780.273839,51892000,0.66757,70.13658537,NA,NA,NA,NA,NA,NA,0.0195,NA
"UMC","1990",3285.883664,2020796591,0.424593242,68.26081374,NA,NA,NA,NA,0.7992761,0.1719,0.0554,NA
